destino,distancia,ida,numpassagens,qtdiarias,requisicao,solicitante,valor,volta
BUENOS AIRES - ARGENTINA,1693.1524968020474,2017-12-05,1,2.0,101723,ADAO ROBERTO RODRIGUES VILLAVERDE,1968.3,2017-12-07
Roulans - FRANCA,20680.923709867155,2017-05-20,6,7.0,96563,ALTEMIR ANTONIO TORTELLI,9697.8,2017-05-27
"Rosário - ARGENTINA, San Nicolás de Los Arroyos - ARGENTINA",1876.6459961332891,2017-03-06,0,3.0,95098,ANY MACHADO ORTIZ,2796.21,2017-03-09
Basileia - SUICA,20867.564186738,2017-03-28,7,10.0,95140,CIRO CARLOS EMERIM SIMONI,13468.0,2017-04-07
New Orleans - ESTADOS UNIDOS DA AMERICA,15674.832766264737,2017-04-01,6,6.0,95942,EDSON MEURER BRUM,7540.32,2017-04-07
"HAMAMATSU - JAPAO, TOKYO - JAPAO",37917.26956436364,2017-06-02,2,7.0,96983,EDUARDO RAFAEL VIERA OLIVERA,10235.4,2017-06-09
CONCEPCION - CHILE,3932.635259747083,2017-11-06,6,4.0,101041,ELTON ROBERTO WEBER,3939.36,2017-11-10
"mendoza - ARGENTINA, Posadas - ARGENTINA, Buenos Aires - ARGENTINA",3932.237107585475,2017-03-12,4,3.0,94843,FREDERICO CANTORI ANTUNES,2801.88,2017-03-15
NEW ORLEANS - ESTADOS UNIDOS DA AMERICA,15670.303500515463,2017-04-02,4,5.0,95504,FREDERICO CANTORI ANTUNES,6250.0,2017-04-07
MONTEVIDEO - URUGUAI,1164.9281276495212,2017-07-25,0,2.0,98604,FREDERICO CANTORI ANTUNES,1873.08,2017-07-27
MONTEVIDEO - URUGUAI,0.0,2017-07-25,0,0.0,98466,FREDERICO CANTORI ANTUNES,0.0,2017-07-27
BUENOS AIRES - ARGENTINA,634.4185450307848,2017-10-28,1,3.0,100561,FREDERICO CANTORI ANTUNES,2921.76,2017-10-31
BUENOS AIRES - ARGENTINA,846.5762484010237,2017-11-01,1,0.5,101114,FREDERICO CANTORI ANTUNES,492.42,2017-11-01
MONTEVIDEO - URUGUAI,1428.1839660559774,2017-10-23,0,1.0,100222,JEFERSON OLIVEIRA FERNANDES,948.99,2017-10-24
mocoreta-corrientes - ARGENTINA,1091.0742669318915,2017-04-01,0,1.0,95745*,JOÃO OTÁVIO REINELLI,744.77,2017-04-02
MADRI - ESPANHA,18480.84267597496,2017-04-18,6,3.0,96320,JOÃO OTÁVIO REINELLI,4138.92,2017-04-23
TOKYO - JAPAO,37781.021687110384,2017-06-02,6,7.0,97386,JOÃO OTÁVIO REINELLI,10404.8,2017-06-09
BOSTON - ESTADOS UNIDOS DA AMERICA,16603.51270797982,2017-08-04,5,7.0,97928,LIZIANE BAYER DA COSTA,9208.92,2017-08-11
"Tokyo - JAPAO,  Hamamatsu - JAPAO",0.0,2017-06-02,0,0.0,96934,LUIS AUGUSTO BARCELLOS LARA,0.0,2017-06-09
NEW YORK - ESTADOS UNIDOS DA AMERICA,17033.985944223434,2017-09-23,4,5.0,100229,LUIS AUGUSTO BARCELLOS LARA,6336.4,2017-09-28
"Mendoza - ARGENTINA, Posadas - ARGENTINA",2241.314046639004,2017-03-12,2,3.0,94778,LUIZ FERNANDO MAINARDI,2756.88,2017-03-15
Buenos Aires - ARGENTINA,846.5762484010237,2017-10-29,1,2.0,100509,LUIZ FERNANDO MAINARDI,1919.82,2017-10-31
Buenos Aires - ARGENTINA,846.5762484010237,2017-11-01,2,0.5,100911,LUIZ FERNANDO MAINARDI,490.91,2017-11-01
PARIS - FRANCA,20508.859278796328,2017-11-01,4,9.0,101268,MAURICIO ALEXANDRE DZIEDRICKI,13800.24,2017-11-10
BONN - ALEMANHA,21289.299073246468,2017-11-02,3,8.0,101183,REGINA MARIA BECKER,12370.24,2017-11-10
"Punta Del Este - URUGUAI,  Maldonado - URUGUAI",1294.475030444144,2017-10-05,0,5.0,99936,SERGIO PERES ALÓS,4724.4,2017-10-10
PARIS - FRANCA,10254.429639398164,2017-01-22,2,10.0,94223,STELA BEATRIZ FARIAS LOPES,13555.6,2017-02-01
Paris - FRANCA,10254.429639398164,2017-02-02,2,1.0,94224*,STELA BEATRIZ FARIAS LOPES,744.77,2017-02-03
MONTEVIDEO - URUGUAI,714.0919830279887,2017-10-23,2,1.0,100273*,STELA BEATRIZ FARIAS LOPES,744.77,2017-10-24
"BOSTON - ESTADOS UNIDOS DA AMERICA, NEW YORK - ESTADOS UNIDOS DA AMERICA",16511.830826696383,2017-08-04,6,8.0,98379,VILMAR PERIN ZANCHIN,10096.0,2017-08-12
Posadas - ARGENTINA,1085.6956550034042,2017-03-13,0,1.0,95354,ZILA MARIA BREITENBACH,922.77,2017-03-14
JAÉN - ESPANHA,18015.810978792357,2017-05-20,0,5.0,96633,ZILA MARIA BREITENBACH,6835.6,2017-05-25
Buenos Aires - ARGENTINA,1693.1524968020474,2017-07-09,2,2.0,97880,ZILA MARIA BREITENBACH,1991.22,2017-07-11
