"mes","solicitante","passagens","combustiveis","diarias","distancia","viagens","dias.fora","gastos.totais"
2017-12-01,"PEDRO LUIZ FAGUNDES RUAS",0,1568.99,588.89,440.714435014767,1,1,1568.99
2015-02-01,"ENIO EGON BERGMANN BACCI",0,1108.93,0,0,0,0,1108.93
2015-03-01,"ENIO EGON BERGMANN BACCI",0,1600.45,0,0,0,0,1600.45
2015-04-01,"ENIO EGON BERGMANN BACCI",0,2209.53,588.9,492.977514128741,2,0,2209.53
2015-05-01,"ENIO EGON BERGMANN BACCI",0,2548.75,2061.13,1280.609557375,3,2,2548.75
2015-06-01,"ENIO EGON BERGMANN BACCI",0,2585.55,883.34,457.522239832763,1,1,2585.55
2015-07-01,"ENIO EGON BERGMANN BACCI",0,2018.29,0,0,0,0,2018.29
2015-08-01,"ENIO EGON BERGMANN BACCI",0,2573.58,0,0,0,0,2573.58
2015-09-01,"ENIO EGON BERGMANN BACCI",0,2350.69,0,0,0,0,2350.69
2015-10-01,"ENIO EGON BERGMANN BACCI",2458.36,2781.17,883.34,598.222334484828,1,2,5239.53
2015-11-01,"ENIO EGON BERGMANN BACCI",0,2464.46,0,0,0,0,2464.46
2015-12-01,"ENIO EGON BERGMANN BACCI",0,2836.63,294.45,180.227999303301,1,0,2836.63
2016-01-01,"ENIO EGON BERGMANN BACCI",0,2976.59,0,0,0,0,2976.59
2016-02-01,"ENIO EGON BERGMANN BACCI",0,2749.69,0,0,0,0,2749.69
2016-03-01,"ENIO EGON BERGMANN BACCI",0,2993.31,294.45,200.836717936778,1,0,2993.31
2016-04-01,"ENIO EGON BERGMANN BACCI",2557.69,2855.98,0,0,0,0,5413.67
2016-05-01,"ENIO EGON BERGMANN BACCI",0,2290.38,3725.93,3386.30499360409,2,3,2290.38
2016-06-01,"ENIO EGON BERGMANN BACCI",0,2547.72,294.45,166.408967794122,1,0,2547.72
2016-07-01,"ENIO EGON BERGMANN BACCI",0,2789.11,0,0,0,0,2789.11
2016-08-01,"ENIO EGON BERGMANN BACCI",0,2611.48,0,0,0,0,2611.48
2016-09-01,"ENIO EGON BERGMANN BACCI",0,3057.07,0,0,0,0,3057.07
2016-10-01,"ENIO EGON BERGMANN BACCI",0,2752.93,588.9,881.473711827418,1,1,2752.93
2016-11-01,"ENIO EGON BERGMANN BACCI",0,2291.07,0,0,0,0,2291.07
2016-12-01,"ENIO EGON BERGMANN BACCI",0,2568.44,0,0,0,0,2568.44
2017-01-01,"ENIO EGON BERGMANN BACCI",0,2695.6,0,0,0,0,2695.6
2017-02-01,"ENIO EGON BERGMANN BACCI",0,2458.74,0,0,0,0,2458.74
2017-03-01,"ENIO EGON BERGMANN BACCI",0,2946.34,0,0,0,0,2946.34
2017-04-01,"ENIO EGON BERGMANN BACCI",0,2986.22,588.9,600.200271085035,2,0,2986.22
2017-05-01,"ENIO EGON BERGMANN BACCI",0,2168.81,0,0,0,0,2168.81
2017-06-01,"ENIO EGON BERGMANN BACCI",0,3083.57,0,0,0,0,3083.57
2017-07-01,"ENIO EGON BERGMANN BACCI",0,3071,0,0,0,0,3071
2017-08-01,"ENIO EGON BERGMANN BACCI",0,3089.99,0,0,0,0,3089.99
2017-09-01,"ENIO EGON BERGMANN BACCI",0,3070.93,0,0,0,0,3070.93
2017-10-01,"ENIO EGON BERGMANN BACCI",0,3054.05,0,0,0,0,3054.05
2017-11-01,"ENIO EGON BERGMANN BACCI",0,3083.76,0,0,0,0,3083.76
2017-12-01,"ENIO EGON BERGMANN BACCI",0,2986.59,0,0,0,0,2986.59
2015-02-01,"LIZIANE BAYER DA COSTA",0,1711.6,1177.79,613.392222013352,2,1,1711.6
2015-03-01,"LIZIANE BAYER DA COSTA",0,3041.06,2061.13,717.457798164762,3,2,3041.06
2015-04-01,"LIZIANE BAYER DA COSTA",0,3054.81,2355.58,1262.45761974009,4,2,3054.81
2015-05-01,"LIZIANE BAYER DA COSTA",0,2687.42,1117.16,3239.47329665878,1,1,2687.42
2015-06-01,"LIZIANE BAYER DA COSTA",3592.05,3019.66,4356.07,3498.35830995536,4,5,6611.71
2015-07-01,"LIZIANE BAYER DA COSTA",0,2059.95,2061.12,1162.54986047985,1,3,2059.95
2015-08-01,"LIZIANE BAYER DA COSTA",2049.16,3091.46,2944.46,1891.01307812503,2,4,5140.62
2015-09-01,"LIZIANE BAYER DA COSTA",5410.92,1531.81,0,0,0,0,6942.73
2015-10-01,"LIZIANE BAYER DA COSTA",3190.32,1838.63,744.77,3239.47329665878,1,1,5028.95
2015-11-01,"LIZIANE BAYER DA COSTA",0,2609.77,588.89,455.509782716104,1,1,2609.77
2015-12-01,"LIZIANE BAYER DA COSTA",0,2678.14,588.89,372.260424452987,1,1,2678.14
2016-01-01,"LIZIANE BAYER DA COSTA",0,2335.79,294.45,970.139758181401,1,0,2335.79
